strategy_id,category,ranking,threshold,exit,sizing,max_positions,concentration,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,worst_single_trade,longest_losing_streak,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,consistency_score,sharpe_norm,dd_norm,return_norm,weighted_score
24,Cash Machine,CW,85,EP,SA,4,C2,331059.8900685939,3.8976583317919227,0.1918191172183365,3.7048580769163886,0.5848585690515807,0.10419107675836578,-0.025080377680441038,8.947103692223276,1202,150.25,-0.21990457452041323,13,8,1.851640218928599,0.8270092687173993,9.82582331615329,1.9172299862065398,3.233916713250732,6.9318745686999845,7.924108858153122,5.48125078721756,1.0,1.0,0.732439814208725,1.0,0.9464879628417451
21,Cash Machine,WP,85,EP,SK,3,C2,51.56722152165514,0.6409274414342494,0.06683385577649154,3.658803433063836,0.558974358974359,0.07305932861924833,-0.024168935107112845,3.3670517296418216,780,97.5,-0.032,10,8,0.5194939155187082,0.4492623275248615,0.4821245065426494,0.7873085957472021,1.1744544984975684,0.8798846799116524,0.31569866850017836,0.6680868722268563,1.0,0.9787620314204378,1.0,0.00013321625048736272,0.8447104902926825
23,Cash Machine,WP,90,EP,SK,3,C1,44.551415280721436,0.6118058747968622,0.07007107705153826,3.6074413681907105,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.4923592236297165,721,90.125,-0.032,9,8,0.4602136103174148,0.4088320975538886,0.6342736488630591,0.8246815520413087,0.9458938630029008,0.7481845053809524,0.3180881890236009,0.6275366591859304,1.0,0.9550765606685796,0.9930699706844875,0.00011202381773764886,0.8373999378767031
22,Cash Machine,WP,85,EP,SH,3,C2,746.9046052503212,1.2868136503764869,0.10738261135223388,3.6379533770723467,0.558974358974359,0.07305932861924833,-0.024168935107112845,3.262969302550325,780,97.5,-0.032,10,8,1.0151456817274291,1.000577240241523,0.9739500771116332,1.6333013529865594,2.540291006691993,1.784260699433077,0.5595003187363443,1.3068706553870668,1.0,0.9691470871501692,0.9131959044587131,0.0022336007589783746,0.8252609927931317
35,Growth,CR,80,ET,SH,5,C2,7677.4956172048915,2.059563826583334,0.20303139430331202,3.6103025541443974,0.7323943661971831,0.0859965688400907,-0.051535798263517583,5.227062618126545,1065,133.125,-0.31982139836481527,8,8,1.3368128017249359,0.8997102485887032,1.9987177825126055,1.658049806716189,1.401660799130679,4.317797889233174,3.294680043454692,2.641938826858823,1.0,0.9563959884678529,0.7084373125906027,0.023168626455621788,0.7842617536034271
149,ATR Stop,CW,90,EA15,SK,3,C1,122.52694021266932,0.8258715030287185,0.11018385144493983,3.2405881833827643,0.6326530612244898,0.11627993100137454,-0.04103914583491557,5.914122666584066,490,61.25,-0.13889754754677616,7,8,0.41786527793766703,0.30914019705842954,1.1106871147474613,0.6918062378202599,0.4315636011146595,1.222684500152429,1.6282442171170461,1.1369745565279632,1.0,0.7859032534727263,0.9071991948386824,0.0003475621167577222,0.7779677866534317
18,Cash Machine,CW,85,ET,SK,4,C2,1418.0386201579872,1.4774179327702823,0.18128696717842213,3.371405112783802,0.7463942307692307,0.08948996949199904,-0.05643964363280255,6.794873416252952,832,104.0,-0.3098682525160109,8,8,0.8937846305292527,0.4974054819189162,1.40374100092873,1.138881545459835,0.7581280335513056,2.660285428149093,2.9948951194480444,2.641816041592107,1.0,0.8462291099746014,0.7549863448072328,0.004260874886646312,0.763193677688094
95,Kelly Dive,CW,85,ET,SK,4,C2,1418.0386201579872,1.4774179327702823,0.18128696717842213,3.371405112783802,0.7463942307692307,0.08948996949199904,-0.05643964363280255,6.794873416252952,832,104.0,-0.3098682525160109,8,8,0.8937846305292527,0.4974054819189162,1.40374100092873,1.138881545459835,0.7581280335513056,2.660285428149093,2.9948951194480444,2.641816041592107,1.0,0.8462291099746014,0.7549863448072328,0.004260874886646312,0.763193677688094
112,Aggressive,MS,70,EM,SA,8,C2,1589.7695380617788,1.5130487199534657,0.16080407407576947,3.237457739588114,0.8202589489718203,0.08235873252855536,-0.07793753195244457,11.049794925577856,1313,164.125,-0.4235847274966643,9,8,0.658127819217251,0.8719889909722989,1.839540435187872,1.4111829421509006,0.8519783593326,1.9994381774801688,2.5843364280373478,2.6799987166497323,1.0,0.7844596581826677,0.7988347683802681,0.004779617252632517,0.7565988108096156
114,ATR Stop,WP,85,EA20,SK,3,C2,28.88998203980635,0.5291169652987431,0.09220492156053045,2.924483391565325,0.6720977596741344,0.08390528757180558,-0.04561144495447507,3.278538902395642,491,61.375,-0.1530902527075812,9,8,0.41935296672059974,0.4928625663405881,0.3828232797446076,0.908626403658622,0.578252956663222,0.7874680398937273,0.28960930118082473,0.4738827424467904,1.0,0.640132423978064,0.9456872994736369,6.471580219045013e-05,0.749180273259572
8,Cash Machine,WP,90,ET,SK,3,C1,25.989070984772034,0.5097272429682314,0.12001787351037142,2.917829664488852,0.6940418679549114,0.0649282510235598,-0.046576304091547234,3.1896846908827747,621,77.625,-0.35690287298961865,6,8,0.3022811403809813,0.2353935125223625,0.4747050603531928,0.8378307094754167,0.49346450424479893,0.6095611421687794,0.5609961330430031,0.6283667527717534,1.0,0.6370640765810126,0.8861471704595787,5.595310830531594e-05,0.7365038462034147
137,ATR Stop,CW,85,EA15,SK,3,C2,240.8200185313853,0.9858046863545775,0.10504613085621416,2.838851865244431,0.6074766355140186,0.1324050056268691,-0.04440281923999304,4.950982953863125,535,66.875,-0.21633414043583538,10,8,0.5012878713578159,0.21595869893774422,1.5904629022584782,0.6346576641582051,0.6255746866265268,1.9669236446305294,1.9716095860015521,1.075049452346314,1.0,0.6006436881353634,0.9181976874561717,0.0007048864243190417,0.733906192488723
138,ATR Stop,CW,85,EA20,SK,3,C2,203.38475054636314,0.9444915542526164,0.12211438160599516,2.882486875143471,0.6616379310344828,0.12975775280851207,-0.04750788571193737,5.824840277823919,464,58.0,-0.16457995735607672,9,8,0.40155976541697336,0.32004702416244424,1.4740031373297624,0.8915203588111231,0.5338676290462769,2.4562473071505293,1.2943200643131645,0.864639543399726,1.0,0.6207658493699973,0.8816591045139871,0.0005918068477179474,0.7316120542724545
50,Growth,CR,80,EM,SA,6,C2,3563.263066066486,1.7796890661449742,0.17005049384844056,3.0433617121937604,0.8385093167701864,0.08837654636959003,-0.0928888721574347,7.130755943874916,966,120.75,-0.4120910258558106,9,8,1.0877183639957062,0.9971217234165366,1.9144529084426725,1.4550836588527565,1.0494068021153855,2.980196237708699,3.4137094947827125,2.0436460557524776,1.0,0.6949528248562244,0.7790406441472191,0.010740889191731731,0.7311574684222597
110,Aggressive,CR,70,EM,SA,6,C2,2784.435938651454,1.6953281484071328,0.18262966782008566,3.0805436427674175,0.8263959390862944,0.08796136468219151,-0.08724141974266217,9.234046300776464,985,123.125,-0.4823823304808751,9,8,0.963773810506922,0.7046257571190728,2.1756893407538045,1.954477569262893,0.5630928490527116,2.012012331831669,3.8105678411201227,2.6241529366078753,1.0,0.7120991668359601,0.7521119800301289,0.008388309751168496,0.7297054341776911
125,ATR Stop,WP,90,EA15,SK,3,C1,22.51342294647602,0.48393364615491374,0.09228975279453068,2.749539480659562,0.6309751434034416,0.07792241954189658,-0.036821605017309016,3.4974525133235694,523,65.375,-0.15185529674284692,10,8,0.3003581282651582,0.3403148820305997,0.563199037619464,0.7500385358132875,0.6836290128143834,0.43909291005740525,0.31808235192709966,0.5546738075288407,1.0,0.5594575349289242,0.9455056983754901,4.5454323877161556e-05,0.7289723415559107
126,ATR Stop,WP,90,EA20,SK,3,C1,18.39189998140971,0.44861355713357987,0.08858185538912638,2.7335335644288907,0.6441048034934498,0.08360589611426589,-0.04410168647220563,2.994023827185481,458,57.25,-0.1530902527075812,5,8,0.3138978833974193,0.3291742217923175,0.4270677294978209,0.7413224300079579,0.5398540171616171,0.5640969586667279,0.32356565695164496,0.35676740713395283,1.0,0.5520764519900914,0.9534433200377577,3.3004564681425206e-05,0.7287127276897767
85,Position Count,CW,85,ET,SA,8,C2,1367.0557768751803,1.4661130168986731,0.1868103185111593,3.0458154896069134,0.7287104622871047,0.07919798557221461,-0.05835330022403022,4.456705139750871,1644,205.5,-0.5189431543185326,13,8,0.7158322630016893,0.7994729749098501,2.1432173341828094,1.1198896416531308,0.6302286430125588,2.400692448746743,2.482195828562292,2.316210757324541,1.0,0.6960843773608671,0.7431623193843211,0.004106872560961176,0.7232695891012253
34,Growth,CR,80,EM,SH,5,C2,6605.991912986351,2.0026206835014895,0.22353637485729258,3.1607459088099095,0.8358024691358025,0.09214872594832646,-0.07755260682674918,7.385669230562879,810,101.25,-0.334879531423144,7,8,1.066102524589784,1.0033057129834844,1.6520712329554468,1.906883191768494,1.5919403591481025,3.8704842503062986,3.7252922360954237,2.1679567200213548,1.0,0.7490842146776823,0.6645416056618119,0.019931967771943747,0.7231691699675745
41,Growth,PR,90,EM,SH,3,C1,2402.233851207508,1.6460588813711419,0.18554979484902495,3.021351995265596,0.815242494226328,0.09479341914553281,-0.07097569167338166,11.780586503941835,433,54.125,-0.3149624554672513,7,8,0.5820617065794946,0.4687965371828302,2.053612157478963,1.751959460679514,0.8994025455852523,2.1116373113535274,3.8001608926966854,3.0226115625561896,1.0,0.6848031062293262,0.7458607651157956,0.0072338035181289,0.72145800010821
151,ATR Stop,CW,90,EA25,SK,3,C1,70.62670506875092,0.7056282151925508,0.11443742807316706,2.75344555705006,0.7116883116883117,0.1168924175691958,-0.05970464711300138,5.068788451893084,385,48.125,-0.20224349643167044,6,8,0.4894945778837241,0.22928221078014643,0.9041734101515573,0.5732451088374135,0.362413431426003,1.610389464858585,0.9823712962280633,0.7687732414719206,1.0,0.5612588109938605,0.898093419167241,0.0001907886533509784,0.7199620048799159
16,Cash Machine,CW,90,EM,SK,3,C1,89.94773447155323,0.7573124490430723,0.13295524547188953,2.802634704037228,0.8142857142857143,0.09960664214338476,-0.09519848659736237,7.020815350776173,420,52.5,-0.4823823304808751,4,8,0.3968538504147472,0.24404071552281992,0.814729712775047,0.8408522009885564,0.5042673701950575,1.1989979983213064,1.1514555610554322,1.096423011560585,1.0,0.5839422468166096,0.8584516997637378,0.0002491510998343406,0.7177132743218753
82,Position Count,CW,85,EM,SK,8,C2,1172.9364668665617,1.419388289456744,0.18633896693663782,2.9754398469522334,0.8233333333333334,0.0867976709904079,-0.09360611578803181,7.0632391168238975,1200,150.0,-0.6533746951843786,9,8,0.8974157012707393,0.4848397810611589,1.7393589495463062,1.7416048683737988,0.5369938943400117,1.9613699066187356,2.9465964812892245,1.8791691303982563,1.0,0.6636308490640946,0.7441713576772935,0.003520502259173736,0.7152700591403585
150,ATR Stop,CW,90,EA20,SK,3,C1,59.217687779835074,0.6690352514594307,0.12007995697647303,2.732498753178987,0.6543778801843319,0.11343075566158774,-0.05264824432788204,4.269103686357925,434,54.25,-0.16457995735607672,6,8,0.3439818551120346,0.2469532240279544,0.8784438108615749,0.7412804720355679,0.24667903103736477,1.7242373867273306,0.9404704688803682,0.6158380097370024,1.0,0.551599251712925,0.886014266279253,0.00015632578146820343,0.7151261150513022
109,Aggressive,PR,70,EM,SA,6,C2,1617.0968196339866,1.5184049426740307,0.18107999223657315,2.928907524129116,0.8190954773869347,0.08341074958266137,-0.08268704478028462,9.023320572035653,995,124.375,-0.6533746951843786,9,8,0.6872318065217895,0.8292538919629171,1.5018939956625568,1.1865273178861058,1.0632132303627797,2.1800670891072778,2.8234102014035987,2.546507974741249,1.0,0.6421726001801085,0.7554294230810741,0.004862163941788863,0.7123583592525102
113,ATR Stop,WP,85,EA15,SK,3,C2,30.964047426457196,0.5419941311838432,0.11068622134288807,2.649648793909549,0.6073298429319371,0.08385996496839751,-0.03732942056002364,3.2814146009674148,573,71.625,-0.1295926349496798,12,8,0.344243062475204,0.41265100592163173,0.692938635839423,0.6849451394254127,0.5883936521627546,0.7827739780694005,0.4601805052331469,0.4455813446882375,1.0,0.5133932276382257,0.9061237545693229,7.098086848727214e-05,0.7095837049536942
84,Position Count,CW,85,ET,SA,5,C2,3037.813023382547,1.7248211233815898,0.2396437429229542,3.114857669763609,0.7271835132482827,0.0854301747586893,-0.055263292126126275,5.483729899302087,1019,127.375,-0.2588734759218927,8,8,1.0772124296296908,0.8477725666155373,2.258319282443804,1.5825225975507338,0.3294683919460546,2.8975041263635126,3.286137777140574,2.9995654246363403,1.0,0.7279229832032419,0.6300600168525413,0.009153678212622415,0.7093658009032121
115,ATR Stop,WP,85,EA25,SK,3,C2,17.78387797397091,0.4428565565187892,0.12023301700006533,2.6739610026000515,0.6912751677852349,0.07903029223550141,-0.049880792986895524,3.5307620425229613,447,55.875,-0.19582671480144404,9,8,0.35056519522851737,0.43128764776342665,0.22380906973239467,0.7362588525710547,0.3813716506787468,0.5755661434337451,0.37065967542315015,0.5321747249109181,1.0,0.5246047338203548,0.8856866054984767,3.116793107717704e-05,0.7082931797444457
97,Kelly Dive,CW,85,ET,SA,4,C2,5022.562576478308,1.9015260702344436,0.22185283769478967,3.0201063273592474,0.7413793103448276,0.08829622556610812,-0.05826287015781705,6.4232743796461484,812,101.5,-0.34429185727355904,8,8,1.2134819725292876,0.7664030897311911,1.0673305675226183,1.474025495861064,0.7848649247369937,3.812042488086055,4.527118700651159,4.034746402906381,1.0,0.6842286700022153,0.6681456107324049,0.01514895088472071,0.7069586322797429
80,Position Count,CW,85,EM,SK,6,C2,2511.707163224796,1.6608337146585628,0.1947600131955615,2.9162721783678287,0.8310160427807487,0.09057597751338166,-0.09221100096184301,9.61029318595109,935,116.875,-0.6533746951843786,7,8,0.9735313120210041,0.5588517549856316,1.1527944494977782,1.8496152052145347,0.9695322439339609,2.971663681245083,3.3403711975624955,2.544607618051145,1.0,0.636345846267316,0.7261441385027917,0.007564486225595755,0.7054499622012268
29,Growth,PR,80,EM,SA,5,C2,2468.5683723289435,1.6550801253773026,0.23235847255939926,3.037576880262619,0.8160493827160494,0.08920699543551916,-0.08121268810450069,9.435347863336519,810,101.25,-0.4120910258558106,7,8,0.820232341163833,0.7636617530593479,1.8141642944704843,1.2939727900521083,0.887381087100543,2.628506271816384,3.2433499659316283,2.8271466170909916,1.0,0.6922851659946128,0.6456558420684562,0.007434178190628892,0.7033175866409388
127,ATR Stop,WP,90,EA25,SK,3,C1,18.280371469300327,0.447569501998041,0.11217724114387721,2.5991211848695897,0.6919431279620853,0.08127243914647485,-0.04857667022047636,3.464605149826673,422,52.75,-0.17100769638573943,7,8,0.3393985473543317,0.2898003339641031,0.43763897068195345,0.6512225054673475,0.6209612970905338,0.49397394603716327,0.20187897924126874,0.5772671491299215,1.0,0.4900925638305391,0.9029318779402794,3.26676738934836e-05,0.7031144166967747
89,Kelly Dive,WP,85,ET,SK,3,C2,33.011126291350614,0.5540057691158904,0.15733388065925796,2.7558861621349755,0.710334788937409,0.06217320841667431,-0.04757363949312576,3.4460876993360463,687,85.875,-0.34223164355512403,11,8,0.43472196180635825,0.4097164987867079,0.26762639316780623,0.9769268015293804,0.5311695890109036,0.7612245303761818,0.3410553338881641,0.810016094145515,1.0,0.5623842891166423,0.8062635290560659,7.716441741775696e-05,0.7018603527529865
83,Position Count,CW,85,EM,SH,8,C2,1048.9721287586167,1.385872444674518,0.18710254811157842,2.862258613976785,0.8184873949579832,0.08744640679972084,-0.08941283295984057,7.008302041507326,1190,148.75,-0.3936429951486007,9,8,0.9059233468078909,0.585007286923461,1.322364054373113,1.7059297362929957,0.5377454596733984,1.909216409466402,2.932199217998177,1.8994682926385358,1.0,0.6114376440221789,0.7425367335730034,0.003146046949477814,0.7018386647625672
118,ATR Stop,WP,85,EA20,SH,3,C2,194.84564086395383,0.9341459321130698,0.18063392960180222,2.8321558614257363,0.6584362139917695,0.0822629258534082,-0.04514191680301653,3.1039558706253256,486,60.75,-0.1530902527075812,9,8,0.7981200316064181,1.0652900584306808,0.14065037124803337,1.900046901416324,1.1396271250096932,1.623681694376598,0.5087798993620145,0.8958389038773782,1.0,0.5975558449383699,0.7563843244835038,0.0005660130185453212,0.700750728084075
28,Growth,PR,80,EM,SH,5,C2,2483.20415444073,1.6570419454710317,0.23542786018381992,3.022908631574452,0.8159203980099502,0.0889183794730041,-0.0783825098331081,9.4526490207804,804,100.5,-0.35093700658433524,7,8,0.9110754039624895,0.9232536388720827,1.5457095312062799,1.1979623497055685,0.9081774102510347,2.6529493379870117,3.2406134579908423,2.827188271274398,1.0,0.6855209446545485,0.6390850999378925,0.00747838805297284,0.7003190143591616
134,ATR Stop,WP,90,EA20,SA,3,C1,136.74900666329674,0.8509132290327406,0.1441284688103016,2.690632456471719,0.6441048034934498,0.08360589611426589,-0.04410168647220563,2.819810432832551,458,57.25,-0.1530902527075812,5,8,0.556666819930661,0.674782282071035,0.8415252482726754,1.4575740053443376,1.0755936843328842,1.0216468954388969,0.5732607532975091,0.6781727497500398,1.0,0.5322927275574396,0.834532801824688,0.00039052228077399224,0.7000383205964136
130,ATR Stop,WP,90,EA20,SH,3,C1,136.74900666329674,0.8509132290327406,0.1441284688103016,2.690632456471719,0.6441048034934498,0.08360589611426589,-0.04410168647220563,2.819810432832551,458,57.25,-0.1530902527075812,5,8,0.556666819930661,0.674782282071035,0.8415252482726754,1.4575740053443376,1.0755936843328842,1.0216468954388969,0.5732607532975091,0.6781727497500398,1.0,0.5322927275574396,0.834532801824688,0.00039052228077399224,0.7000383205964136
10,Cash Machine,WP,85,ET,SK,4,C2,77.69337491752815,0.7258071797017693,0.15911971339982156,2.7430978496890615,0.6910299003322259,0.06201766720974866,-0.04527455070832302,3.607920908610143,903,112.875,-0.2737208182912153,14,8,0.5174407932920015,0.4696329555229406,0.368394838630701,1.4368879263222096,0.4626532791372373,1.084827749119298,0.591935851411612,1.144551872360525,1.0,0.5564869950504567,0.8024405363740074,0.00021213472825550866,0.699641676246654
152,ATR Stop,CW,90,EA30,SK,3,C1,55.08173350725634,0.6542558482588607,0.1246363561215768,2.5985564462487107,0.7111716621253406,0.12006329184603778,-0.06828098610629725,4.883267583051988,367,45.875,-0.2215284894570697,5,8,0.4608476009706435,0.1587331031857111,0.810689850836041,0.6077569179472511,0.4048762199389868,1.379947550191822,0.9960106911141973,0.6639156020788171,1.0,0.4898321362149377,0.8762602281811656,0.0001438324300603328,0.6977316545544766
76,Position Count,CW,85,EM,SK,2,C1,36.389683455724025,0.5725120190957094,0.1048334040783021,2.5248757436316938,0.821875,0.10452668502285238,-0.10608229739131243,7.096791274655418,320,40.0,-0.6533746951843786,3,8,0.312450983335413,0.09614238890872207,0.6802912914188728,0.5529828138544572,0.30917596716611695,0.9169767660982029,1.107293470094513,0.7870869773487994,1.0,0.4558544888769149,0.918653078880443,8.736992239297965e-05,0.6977073434836764
2,Cash Machine,WP,85,EM,SK,3,C2,29.030827327583925,0.5300157874662195,0.10930580167935862,2.5382710015410757,0.8218623481781376,0.06692535190667831,-0.07961225813415683,3.7425796185325426,494,61.75,-0.6533746951843786,4,8,0.4217944721337594,0.2882511314846443,0.5033479001208396,1.0187571457996496,0.5955922690786895,0.7316315910664954,0.3217832444226274,0.45345018854043184,1.0,0.46203167412462615,0.9090788657350961,6.514124927191673e-05,0.6973334628655665
86,Kelly Dive,WP,85,EM,SK,3,C2,29.030827327583925,0.5300157874662195,0.10930580167935862,2.5382710015410757,0.8218623481781376,0.06692535190667831,-0.07961225813415683,3.7425796185325426,494,61.75,-0.6533746951843786,4,8,0.4217944721337594,0.2882511314846443,0.5033479001208396,1.0187571457996496,0.5955922690786895,0.7316315910664954,0.3217832444226274,0.45345018854043184,1.0,0.46203167412462615,0.9090788657350961,6.514124927191673e-05,0.6973334628655665
122,ATR Stop,WP,85,EA20,SA,3,C2,163.76395548031692,0.892813288182122,0.18079147611518884,2.7939697540519957,0.6584362139917695,0.0822629258534082,-0.04514191680301653,3.1411200636172936,486,60.75,-0.1530902527075812,9,8,0.7277517757215581,0.8652763595987281,0.1398962248994624,1.7878417178807777,1.1396271250096937,1.620628341453998,0.5273099042081568,0.8929945424274952,1.0,0.5799464296712417,0.7560470593219463,0.0004721255158663952,0.6962668381095797
27,Growth,PR,85,EM,SK,4,C2,585.3959125262951,1.2183183248792857,0.192892097463391,2.823660948365348,0.8060413354531002,0.09939553256377472,-0.093743642217918,14.150207182807483,629,78.625,-0.6533746951843786,5,8,0.4097614302280197,0.2254668696674138,1.4799279348702745,1.0498297214864705,0.5672712725900011,1.7280629034143398,2.734851028923886,2.9266975183003745,1.0,0.593638439839326,0.7301428490273484,0.001745736358009314,0.6947000402190026
98,Kelly Dive,PR,85,EM,SK,4,C2,585.3959125262951,1.2183183248792857,0.192892097463391,2.823660948365348,0.8060413354531002,0.09939553256377472,-0.093743642217918,14.150207182807483,629,78.625,-0.6533746951843786,5,8,0.4097614302280197,0.2254668696674138,1.4799279348702745,1.0498297214864705,0.5672712725900011,1.7280629034143398,2.734851028923886,2.9266975183003745,1.0,0.593638439839326,0.7301428490273484,0.001745736358009314,0.6947000402190026
128,ATR Stop,WP,90,EA30,SK,3,C1,15.67836499240677,0.4215730586645925,0.11742459740199622,2.540334603041801,0.7270408163265306,0.07965024034496901,-0.05801351477103205,3.595277752395935,392,49.0,-0.23856317689530682,6,8,0.45740191489678517,0.2023701095744832,0.25209004937901014,0.5846572940668968,0.6237406191711876,0.6692235645847111,0.2852358152933423,0.3682152337304432,1.0,0.46298329811228434,0.8916986845290019,2.4807871985877362e-05,0.6940892826146693
129,ATR Stop,WP,90,EA15,SH,3,C1,168.34234551917046,0.899309306871912,0.14498479739672426,2.6329190071327693,0.6309751434034416,0.07792241954189658,-0.036821605017309016,3.4435851610827224,523,65.375,-0.15185529674284692,10,8,0.5207811852586266,0.7213415200393107,1.0983188889484263,1.4095473241544276,1.2796327432348855,0.8114401636181241,0.5422168765361943,1.0243358029667462,1.0,0.505678333847155,0.8326996301927814,0.0004859553195508611,0.6930324027982776
133,ATR Stop,WP,90,EA15,SA,3,C1,168.34234551917046,0.899309306871912,0.14498479739672426,2.6329190071327693,0.6309751434034416,0.07792241954189658,-0.036821605017309016,3.4435851610827224,523,65.375,-0.15185529674284692,10,8,0.5207811852586266,0.7213415200393107,1.0983188889484263,1.4095473241544276,1.2796327432348855,0.8114401636181241,0.5422168765361943,1.0243358029667462,1.0,0.505678333847155,0.8326996301927814,0.0004859553195508611,0.6930324027982776
5,Cash Machine,WP,85,EM,SV,3,C2,18.103750388442197,0.4459052325006445,0.09778413156642465,2.452759256204669,0.8218623481781376,0.06692535190667831,-0.07961225813415683,3.7189772849424094,494,61.75,-0.6533746951843786,4,8,0.35099466444255545,0.27355141386823845,0.4438402893948803,0.8337577092938986,0.5012704054431665,0.5855366142223568,0.26487077039124096,0.3713646435143654,1.0,0.4225981749436858,0.9337436954956577,3.213415996083977e-05,0.6924031029590472
43,Growth,CR,90,EM,SH,3,C1,3129.579242402074,1.7349732794852049,0.21953159643657225,2.8831167477200044,0.830316742081448,0.09624779199260916,-0.08414656088963009,6.413689129874904,442,55.25,-0.29482561839269217,4,8,1.1276038285025867,0.4793521232060014,1.1426305444550025,1.9713762469255989,1.104761604177868,3.3802385768590817,3.520955115996933,2.3647807404278733,1.0,0.6210563133247805,0.6731147705769358,0.00943087364226815,0.6913016634929225
6,Cash Machine,WP,90,EM,SK,3,C1,21.425179275702583,0.47516972400818447,0.11786452429081894,2.5148590208010635,0.8144104803493449,0.0678841649214644,-0.08330564436135335,3.3886617823570053,458,57.25,-0.3768332135892436,5,8,0.4212364378097706,0.2620101549128626,0.5484318697102184,0.4687324421751322,0.4539945704237378,0.783108220101784,0.37855916612558804,0.49731344811869915,1.0,0.451235305512297,0.8907569181259067,4.216709928512401e-05,0.6909665350681483
