strategy_id,label,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,tier,improvements
6,SymbolQuality,275.53561899920675,1.0193838784203777,0.07359483510843458,4.221686703980086,0.5909631391200951,0.08249416687591195,-0.02373601577707108,5.061783998582453,841,105.125,8,0.6868369946877921,0.3066216146943379,1.0214297271685133,0.9038137314978434,1.617129962234038,1.692789699987963,1.105605203237583,1.1381966059303936,10_30,{'symbol_quality': True}
3,SkipMonday,48.77242525606006,0.6297597969413444,0.07269040278612376,3.7251266354387638,0.5947901591895803,0.07153291561595937,-0.024070467115605114,4.219833705795822,691,86.375,8,0.46489094110383533,0.3200889498987398,0.7750212874532394,0.6548311742472541,0.9219158855057885,0.8239260871441014,0.4926615000658947,0.6527449585138867,10_30,{'skip_monday': True}
2,NoRepeat14d,34.26725066475603,0.5610666674105387,0.05660919093475872,3.6794711548507912,0.5580357142857143,0.0738793238836602,-0.023685208931575327,3.770623644153237,672,84.0,8,0.3144516933071311,0.26856469021669516,0.5151792268361626,0.6696605967463694,0.9153622088483153,0.8079664208587474,0.45260523827278387,0.6661160733566147,10_30,{'no_repeat_14d': True}
4,VIXScaled,10.361575860502303,0.35497044254438337,0.036381186759916424,3.6058422268596084,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.4650264624976463,721,90.125,8,0.3245817555084638,0.31285892679074023,0.20739032020667336,0.38360049871867363,0.2835780084471524,0.6152858930105527,0.29355913403747813,0.44426613258222836,10_30,{'vix_scaled_sizing': True}
15,ATR_1.5x,45.73959686706675,0.6170022353634648,0.06989368298719999,3.5784987227555733,0.5581717451523546,0.07465611480933948,-0.024055744653233006,3.5151996893855753,722,90.25,8,0.4227031008538855,0.42539881221648357,0.7375699228389043,0.8103296518581855,0.8717915668568219,0.7567832850634368,0.3603243286542923,0.6254691130697414,10_30,{'atr_stop_mult': 1.5}
1,Baseline,45.6972726550715,0.6168191318532878,0.06989368298719952,3.5727245272244166,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.493409753432663,721,90.125,8,0.4612730341721474,0.425398812216482,0.656928333292468,0.8275734099112733,0.9462412159462446,0.7454636181891896,0.3171904919194688,0.6254691130697421,10_30,{}
16,ATR_2.0x,45.6972726550715,0.6168191318532878,0.06989368298719952,3.5727245272244166,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.493409753432663,721,90.125,8,0.4612730341721474,0.425398812216482,0.656928333292468,0.8275734099112733,0.9462412159462446,0.7454636181891896,0.3171904919194688,0.6254691130697421,10_30,{'atr_stop_mult': 2.0}
18,ATR_3.0x,45.6972726550715,0.6168191318532878,0.06989368298719952,3.5727245272244166,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.493409753432663,721,90.125,8,0.4612730341721474,0.425398812216482,0.656928333292468,0.8275734099112733,0.9462412159462446,0.7454636181891896,0.3171904919194688,0.6254691130697421,10_30,{'atr_stop_mult': 3.0}
17,ATR_2.5x,45.6972726550715,0.6168191318532878,0.06989368298719952,3.5727245272244166,0.5617198335644937,0.07402669190663735,-0.024026581704411628,3.493409753432663,721,90.125,8,0.4612730341721474,0.425398812216482,0.656928333292468,0.8275734099112733,0.9462412159462446,0.7454636181891896,0.3171904919194688,0.6254691130697421,10_30,{'atr_stop_mult': 2.5}
5,WeeklyBreaker,26.15240537108462,0.5108663148536567,0.053880763559663425,3.547506781040416,0.5635276532137519,0.06941049617778815,-0.02394762414712254,3.4826049148726232,669,83.625,8,0.3093947574542599,0.3962240943277531,0.49469351288296837,0.5588452378880082,0.7277120522261582,0.6455757393448498,0.41552808671495733,0.5598986156606134,10_30,{'weekly_loss_breaker': True}
11,AllComb_CW_T85,32.952234050909816,0.5536691576255817,0.03927598082828273,3.4735952289330325,0.5774058577405857,0.0886067770254992,-0.023830985169692988,5.834501276354938,717,89.625,8,0.3754186096390959,0.2778026374651541,0.41495111260203665,0.5648938618895245,0.24638547926426124,0.856515534351423,0.8828020536422203,0.9964681869185346,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
12,AllComb_CR_T85,32.517729387238006,0.5511697392344348,0.04968617651140747,3.4391471854766302,0.5867768595041323,0.09045935789804521,-0.02444344460996827,5.720525190002161,726,90.75,8,0.31624192941088936,0.2711454088857288,0.5208523164103982,0.4667054023767212,0.22235463386012277,0.8758917353037572,1.027521723417307,0.9232599805636084,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
21,AllComb_ATR_2.5x,20.661150783311758,0.46879163566906645,0.044808357772745486,3.3647061367955686,0.5893648449039882,0.08116518638815942,-0.024042863815478478,4.430206575889152,677,84.625,8,0.43806437601300896,0.12221483571504854,0.4116417612542995,0.3767755050987769,0.2868804287194615,0.786256402058573,0.7000424877874489,0.7642438986375975,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True, 'atr_stop_mult': 2.5}"
8,AllCombined_10_30,20.661150783311758,0.46879163566906645,0.044808357772745486,3.3647061367955686,0.5893648449039882,0.08116518638815942,-0.024042863815478478,4.430206575889152,677,84.625,8,0.43806437601300896,0.12221483571504854,0.4116417612542995,0.3767755050987769,0.2868804287194615,0.786256402058573,0.7000424877874489,0.7642438986375975,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
22,AllComb_ATR_3.0x,20.661150783311758,0.46879163566906645,0.044808357772745486,3.3647061367955686,0.5893648449039882,0.08116518638815942,-0.024042863815478478,4.430206575889152,677,84.625,8,0.43806437601300896,0.12221483571504854,0.4116417612542995,0.3767755050987769,0.2868804287194615,0.786256402058573,0.7000424877874489,0.7642438986375975,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True, 'atr_stop_mult': 3.0}"
20,AllComb_ATR_2.0x,20.235085811894603,0.46514886347761286,0.04480835777274541,3.3499861595203444,0.5857988165680473,0.08165323701281654,-0.0240859656124625,4.415284533345489,676,84.5,8,0.43806437601300896,0.12221483571504854,0.38387541067224773,0.37677550509877666,0.2868804287194606,0.7862564020585736,0.70004248778745,0.7642438986375999,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True, 'atr_stop_mult': 2.0}"
10,AllComb_EM_T90,19.893346776324506,0.4621805465112929,0.1079636423276783,3.2910494410709905,0.8493449781659389,0.07531116991048406,-0.07819145706170218,5.929308780008975,458,57.25,8,0.2912188446615249,0.2052763958348216,0.2092112958150092,0.7358713427352586,0.2031954751949303,0.7727242491546502,0.5028180662625066,0.9461664231743052,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
13,AllComb_SH_T85,271.83716014273716,1.015987987838788,0.10474471475201416,3.276120421347147,0.5678670360110804,0.08093352733578182,-0.02446396644433402,4.151878197183769,722,90.25,8,0.6936538025834149,0.8928666079976633,0.8256536923141349,0.9947110006921405,0.4671771105158833,1.6755915726864532,1.2536856687010696,1.5603974435262482,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
19,AllComb_ATR_1.5x,19.217060909708085,0.4561789623571053,0.04480835777274527,3.267524455875945,0.5851851851851851,0.0802329005419175,-0.023835615918208958,4.433911437109824,675,84.375,8,0.45444809150793675,0.12221483571504832,0.3871669446309325,0.3835915222828956,0.28688042871939623,0.786256402058574,0.6132107933733626,0.7348404615276414,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True, 'atr_stop_mult': 1.5}"
14,AllComb_P4_C2,40.73696022826134,0.5942818500341618,0.10373383883494117,3.182872571824851,0.5911730545876888,0.08201487620221411,-0.02363761256927592,4.504961360866845,861,107.625,8,0.6427127901346137,0.19910390004828837,0.4364243619814445,0.5966283734284721,0.3384693039538862,0.873051512648169,0.8031661066276634,1.0278510887355545,10_30,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
7,Tier31_60,34.459474897256776,0.5621277145135983,0.06378845876547255,3.106871287192383,0.533213644524237,0.08777142187368678,-0.02366584392075395,4.284095214859781,557,69.625,8,0.25611235452563963,0.08219828465923773,0.5052003491634682,0.6465055071610408,1.0078143316861703,0.6773170725795634,0.7655793439526961,0.7504956940830267,31_60,{}
23,ATR31_60_2.0x,34.459474897256776,0.5621277145135983,0.06378845876547255,3.106871287192383,0.533213644524237,0.08777142187368678,-0.02366584392075395,4.284095214859781,557,69.625,8,0.25611235452563963,0.08219828465923773,0.5052003491634682,0.6465055071610408,1.0078143316861703,0.6773170725795634,0.7655793439526961,0.7504956940830267,31_60,{'atr_stop_mult': 2.0}
24,ATR31_60_2.5x,34.459474897256776,0.5621277145135983,0.06378845876547255,3.106871287192383,0.533213644524237,0.08777142187368678,-0.02366584392075395,4.284095214859781,557,69.625,8,0.25611235452563963,0.08219828465923773,0.5052003491634682,0.6465055071610408,1.0078143316861703,0.6773170725795634,0.7655793439526961,0.7504956940830267,31_60,{'atr_stop_mult': 2.5}
9,AllCombined_31_60,5.836662229740126,0.2716146288868799,0.06134492080764805,2.116394930810772,0.5138632162661737,0.08036149551069388,-0.024564754550715873,3.570493081404153,541,67.625,8,0.0969312450405484,0.02016043452183003,0.23196504656837336,0.45071012756978823,0.1424944880115353,0.484113781657588,0.19050826975253865,0.7010309061803259,31_60,"{'mfe_adaptive_spreads': True, 'no_repeat_14d': True, 'skip_monday': True, 'vix_scaled_sizing': True, 'weekly_loss_breaker': True, 'symbol_quality': True}"
