strategy_id,label,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025
V4_STK_A_01_baseline_B,BaseA | 01_baseline | both,32.64,26.31,31.22,42.36,40.18,41.42,31.33,38.25
V4_STK_A_01_baseline_L,BaseA | 01_baseline | long,24.52,26.66,28.71,42.36,33.43,35.46,33.48,40.2
V4_STK_A_01_baseline_S,BaseA | 01_baseline | short,28.71,,7.82,1.51,23.24,30.03,28.93,35.36
V4_STK_A_02_vix_block_B,BaseA | 02_vix_block | both,32.64,26.31,31.22,42.36,40.18,41.42,31.33,38.25
V4_STK_A_02_vix_block_L,BaseA | 02_vix_block | long,24.52,26.66,28.71,42.36,33.43,35.46,33.48,40.2
V4_STK_A_02_vix_block_S,BaseA | 02_vix_block | short,28.71,,7.82,1.51,23.24,30.03,28.93,35.36
V4_STK_A_03_sym_quality_B,BaseA | 03_sym_quality | both,32.64,26.79,27.21,41.42,44.49,49.92,35.08,40.11
V4_STK_A_03_sym_quality_L,BaseA | 03_sym_quality | long,24.52,26.63,24.25,37.93,29.73,40.72,38.91,35.06
V4_STK_A_03_sym_quality_S,BaseA | 03_sym_quality | short,28.71,,5.92,1.51,32.14,25.5,29.61,36.48
V4_STK_A_04_no_repeat14_B,BaseA | 04_no_repeat14 | both,33.92,27.1,31.5,40.7,42.49,38.42,30.78,39.51
V4_STK_A_04_no_repeat14_L,BaseA | 04_no_repeat14 | long,27.82,26.78,28.98,41.78,36.57,35.46,32.01,39.07
V4_STK_A_04_no_repeat14_S,BaseA | 04_no_repeat14 | short,27.54,,7.82,1.51,26.06,31.82,29.71,35.71
V4_STK_A_05_skip_monday_B,BaseA | 05_skip_monday | both,28.91,27.24,29.34,43.36,46.41,40.43,30.24,43.59
V4_STK_A_05_skip_monday_L,BaseA | 05_skip_monday | long,21.02,27.76,28.16,43.36,33.32,35.37,36.34,41.99
V4_STK_A_05_skip_monday_S,BaseA | 05_skip_monday | short,26.71,,8.88,1.51,28.65,28.63,26.17,30.69
V4_STK_A_06_wkly_breaker_B,BaseA | 06_wkly_breaker | both,28.43,12.52,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_06_wkly_breaker_L,BaseA | 06_wkly_breaker | long,22.78,11.18,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_06_wkly_breaker_S,BaseA | 06_wkly_breaker | short,28.71,,7.82,1.51,9.64,0.0,0.0,0.0
V4_STK_A_07_best4_B,BaseA | 07_best4 | both,29.88,28.26,26.78,38.37,33.85,40.24,34.34,38.78
V4_STK_A_07_best4_L,BaseA | 07_best4 | long,20.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_07_best4_S,BaseA | 07_best4 | short,27.39,,8.88,1.51,13.66,0.0,0.0,0.0
V4_STK_A_08_vix_best4_B,BaseA | 08_vix_best4 | both,29.88,28.26,26.78,38.37,33.85,40.24,34.34,38.78
V4_STK_A_08_vix_best4_L,BaseA | 08_vix_best4 | long,20.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_08_vix_best4_S,BaseA | 08_vix_best4 | short,27.39,,8.88,1.51,13.66,0.0,0.0,0.0
V4_STK_A_09_regime_B,BaseA | 09_regime | both,30.42,35.45,31.22,42.36,40.22,43.91,29.57,36.58
V4_STK_A_09_regime_L,BaseA | 09_regime | long,26.9,35.39,28.71,42.36,37.38,37.13,31.32,39.79
V4_STK_A_09_regime_S,BaseA | 09_regime | short,20.74,27.62,7.44,1.51,29.12,42.58,31.79,35.36
V4_STK_A_10_vix_regime_B,BaseA | 10_vix_regime | both,30.42,35.45,31.22,42.36,40.22,43.91,29.57,36.58
V4_STK_A_10_vix_regime_L,BaseA | 10_vix_regime | long,26.9,35.39,28.71,42.36,37.38,37.13,31.32,39.79
V4_STK_A_10_vix_regime_S,BaseA | 10_vix_regime | short,20.74,27.62,7.44,1.51,29.12,42.58,31.79,35.36
V4_STK_A_11_vix_best4_reg_B,BaseA | 11_vix_best4_reg | both,28.72,29.84,26.78,38.37,36.12,48.91,30.29,37.55
V4_STK_A_11_vix_best4_reg_L,BaseA | 11_vix_best4_reg | long,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_11_vix_best4_reg_S,BaseA | 11_vix_best4_reg | short,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_12_full_B,BaseA | 12_full | both,28.51,27.63,21.11,24.82,24.58,33.84,26.8,33.08
V4_STK_A_12_full_L,BaseA | 12_full | long,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_A_12_full_S,BaseA | 12_full | short,12.67,22.5,7.77,1.48,14.15,0.0,0.0,0.0
V4_STK_B_01_baseline_B,BaseB | 01_baseline | both,26.41,30.82,26.16,38.9,44.46,38.72,35.32,39.65
V4_STK_B_01_baseline_L,BaseB | 01_baseline | long,28.44,31.44,25.57,38.9,33.71,33.93,46.02,38.26
V4_STK_B_01_baseline_S,BaseB | 01_baseline | short,31.37,4.29,5.67,2.79,30.51,30.82,34.51,43.9
V4_STK_B_02_vix_block_B,BaseB | 02_vix_block | both,26.41,30.82,26.16,38.9,44.46,38.72,35.32,39.65
V4_STK_B_02_vix_block_L,BaseB | 02_vix_block | long,28.44,31.44,25.57,38.9,33.71,33.93,46.02,38.26
V4_STK_B_02_vix_block_S,BaseB | 02_vix_block | short,31.37,4.29,5.67,2.79,30.51,30.82,34.51,43.9
V4_STK_B_03_sym_quality_B,BaseB | 03_sym_quality | both,26.41,30.74,28.71,38.12,47.02,40.97,39.33,42.77
V4_STK_B_03_sym_quality_L,BaseB | 03_sym_quality | long,28.44,30.3,23.92,41.1,38.0,41.65,43.22,41.71
V4_STK_B_03_sym_quality_S,BaseB | 03_sym_quality | short,31.37,4.29,6.05,2.79,27.62,25.85,33.86,42.75
V4_STK_B_04_no_repeat14_B,BaseB | 04_no_repeat14 | both,30.66,26.72,28.6,40.9,42.91,34.79,35.62,36.51
V4_STK_B_04_no_repeat14_L,BaseB | 04_no_repeat14 | long,29.63,27.77,26.49,40.9,36.09,37.56,44.29,41.26
V4_STK_B_04_no_repeat14_S,BaseB | 04_no_repeat14 | short,29.73,3.13,5.67,2.79,32.92,29.85,33.7,45.18
V4_STK_B_05_skip_monday_B,BaseB | 05_skip_monday | both,24.48,28.55,28.49,42.72,37.97,39.88,41.4,41.06
V4_STK_B_05_skip_monday_L,BaseB | 05_skip_monday | long,25.14,30.01,22.88,40.77,30.72,38.23,44.16,40.53
V4_STK_B_05_skip_monday_S,BaseB | 05_skip_monday | short,31.7,3.21,8.33,2.13,35.12,28.93,34.48,37.05
V4_STK_B_06_wkly_breaker_B,BaseB | 06_wkly_breaker | both,32.28,26.06,25.57,38.54,0.0,0.0,0.0,0.0
V4_STK_B_06_wkly_breaker_L,BaseB | 06_wkly_breaker | long,27.86,17.91,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_06_wkly_breaker_S,BaseB | 06_wkly_breaker | short,31.37,4.29,4.92,2.79,0.0,0.0,0.0,0.0
V4_STK_B_07_best4_B,BaseB | 07_best4 | both,30.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_07_best4_L,BaseB | 07_best4 | long,24.59,11.86,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_07_best4_S,BaseB | 07_best4 | short,30.49,1.1,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_08_vix_best4_B,BaseB | 08_vix_best4 | both,30.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_08_vix_best4_L,BaseB | 08_vix_best4 | long,24.59,11.86,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_08_vix_best4_S,BaseB | 08_vix_best4 | short,30.49,1.1,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_09_regime_B,BaseB | 09_regime | both,27.06,38.62,26.16,38.9,43.37,41.25,34.7,41.01
V4_STK_B_09_regime_L,BaseB | 09_regime | long,31.01,33.99,22.88,38.9,36.51,40.67,42.28,36.15
V4_STK_B_09_regime_S,BaseB | 09_regime | short,23.9,26.82,5.67,2.79,33.87,45.38,33.25,43.9
V4_STK_B_10_vix_regime_B,BaseB | 10_vix_regime | both,27.06,38.62,26.16,38.9,43.37,41.25,34.7,41.01
V4_STK_B_10_vix_regime_L,BaseB | 10_vix_regime | long,31.01,33.99,22.88,38.9,36.51,40.67,42.28,36.15
V4_STK_B_10_vix_regime_S,BaseB | 10_vix_regime | short,23.9,26.82,5.67,2.79,33.87,45.38,33.25,43.9
V4_STK_B_11_vix_best4_reg_B,BaseB | 11_vix_best4_reg | both,29.47,15.7,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_11_vix_best4_reg_L,BaseB | 11_vix_best4_reg | long,29.34,16.82,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_11_vix_best4_reg_S,BaseB | 11_vix_best4_reg | short,22.69,23.2,8.23,2.13,0.0,0.0,0.0,0.0
V4_STK_B_12_full_B,BaseB | 12_full | both,19.66,29.01,4.88,0.0,0.0,0.0,0.0,0.0
V4_STK_B_12_full_L,BaseB | 12_full | long,20.91,-0.48,0.0,0.0,0.0,0.0,0.0,0.0
V4_STK_B_12_full_S,BaseB | 12_full | short,19.35,19.33,5.1,2.74,0.0,0.0,0.0,0.0
V4_OPT_01_baseline_B,Options | 01_baseline | both,1149.4,2289.34,5452.12,2124.17,7574.85,5762.92,3812.58,12205.41
V4_OPT_01_baseline_L,Options | 01_baseline | long,613.76,1957.21,5606.07,2124.17,4297.94,3652.37,8607.78,3771.57
V4_OPT_01_baseline_S,Options | 01_baseline | short,1205.25,,199.82,29.74,3663.2,854.38,2746.29,2155.51
V4_OPT_08_vix_best4_B,Options | 08_vix_best4 | both,997.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_OPT_08_vix_best4_L,Options | 08_vix_best4 | long,662.32,1257.42,41.89,0.0,0.0,0.0,0.0,0.0
V4_OPT_08_vix_best4_S,Options | 08_vix_best4 | short,-5.59,,0.0,0.0,0.0,0.0,0.0,0.0
V4_OPT_11_vix_best4_reg_B,Options | 11_vix_best4_reg | both,810.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_OPT_11_vix_best4_reg_L,Options | 11_vix_best4_reg | long,727.51,9.63,0.0,0.0,0.0,0.0,0.0,0.0
V4_OPT_11_vix_best4_reg_S,Options | 11_vix_best4_reg | short,-5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_SPR_01_baseline_B,Spread | 01_baseline | both,525.51,406.61,208.59,888.81,898.92,1031.53,681.04,650.45
V4_SPR_01_baseline_L,Spread | 01_baseline | long,545.96,425.58,208.12,888.81,415.8,916.63,885.59,573.4
V4_SPR_01_baseline_S,Spread | 01_baseline | short,399.97,,65.39,17.01,412.84,869.89,923.45,1083.04
V4_SPR_08_vix_best4_B,Spread | 08_vix_best4 | both,323.04,3.62,0.0,0.0,0.0,0.0,0.0,0.0
V4_SPR_08_vix_best4_L,Spread | 08_vix_best4 | long,616.42,381.98,12.75,0.0,0.0,0.0,0.0,0.0
V4_SPR_08_vix_best4_S,Spread | 08_vix_best4 | short,513.9,,64.21,17.01,348.81,5.88,0.0,0.0
V4_SPR_11_vix_best4_reg_B,Spread | 11_vix_best4_reg | both,302.87,603.05,41.2,0.0,0.0,0.0,0.0,0.0
V4_SPR_11_vix_best4_reg_L,Spread | 11_vix_best4_reg | long,662.8,808.82,12.75,0.0,0.0,0.0,0.0,0.0
V4_SPR_11_vix_best4_reg_S,Spread | 11_vix_best4_reg | short,273.68,303.58,64.21,17.01,291.93,1458.46,818.4,871.37
